"We can't find a region to delete.","We can't find a region to delete."
"Edit Region","Edit Region"
"New Region","New Region"
"Country Regions","Country Regions"
"Something went wrong while saving the region.","Something went wrong while saving the region."
"You saved the region.","You saved the region."
"Something went wrong while saving the region data. Please review the error log.","Something went wrong while saving the region data. Please review the error log."
"You deleted the location group.","You deleted the location group."
"We can't delete the location group right now. Please review the log and try again.","We can't delete the location group right now. Please review the log and try again."
"We can't find a location group to delete.","We can't find a location group to delete."
"Edit location group","Edit location group"
"Locations Groups (Shipping Zones)","Locations Groups (Shipping Zones)"
"Something went wrong while saving the location group.","Something went wrong while saving the location group."
"You saved the location group.","You saved the location group."
"Something went wrong while saving the location group data. Please review the error log.","Something went wrong while saving the location group data. Please review the error log."
"Carrier code is required","Carrier code is required"
"Method code is required","Method code is required"
"Title is required","Title is required"
"Price could not be a negative number","Price could not be a negative number"
"Could not save the rate: %1","Could not save the rate: %1"
"Rate with id ""%1"" does not exist.","Rate with id ""%1"" does not exist."
"Could not delete the rate: %1","Could not delete the rate: %1"
"Could not save the method: %1","Could not save the method: %1"
"Method with id ""%1"" does not exist.","Method with id ""%1"" does not exist."
"Method with a code ""%1"" does not exist.","Method with a code ""%1"" does not exist."
"Could not delete the method: %1","Could not delete the method: %1"
"Could not save the carrier: %1","Could not save the carrier: %1"
"Carrier with id ""%1"" does not exist.","Carrier with id ""%1"" does not exist."
"Carrier with code ""%1"" does not exist.","Carrier with code ""%1"" does not exist."
"Could not delete the carrier: %1","Could not delete the carrier: %1"
"Something goes wrong during a post code parsing process.","Something goes wrong during a post code parsing process."
"Days only (rounded)","Days only (rounded)"
"Hours only","Hours only"
"Days with Hours","Days with Hours"
"Select Country","Select Country"
Overwrite,Overwrite
Sum,Sum
"Use Rate with Max Priority","Use Rate with Max Priority"
"Use Rate with Max Price","Use Rate with Max Price"
"Use Rate with Min Price","Use Rate with Min Price"
"Sum Up All Rates","Sum Up All Rates"
"Shipping Cost","Shipping Cost"
"Overwrite Amount (Fixed)","Overwrite Amount (Fixed)"
"Overwrite Amount (Percent)","Overwrite Amount (Percent)"
"Shipping Cost per Product","Shipping Cost per Product"
"Shipping Cost Per Item","Shipping Cost Per Item"
"Shipping Cost Per 1 Unit of Weight","Shipping Cost Per 1 Unit of Weight"
"Shipping Surcharge","Shipping Surcharge"
"Add Surcharge (Fixed)","Add Surcharge (Fixed)"
"Add Surcharge (Percent)","Add Surcharge (Percent)"
"Shipping Surcharge per Product","Shipping Surcharge per Product"
"Shipping Surcharge per Item","Shipping Surcharge per Item"
"Shipping Surcharge per 1 Unit of Weight","Shipping Surcharge per 1 Unit of Weight"
"Shipping Discount","Shipping Discount"
"Add Discount (Fixed)","Add Discount (Fixed)"
"Add Discount (Percent)","Add Discount (Percent)"
"Shipping Discount per Product","Shipping Discount per Product"
"Shipping Discount per Item","Shipping Discount per Item"
"Shipping Discount per 1 Unit of Weight","Shipping Discount per 1 Unit of Weight"
"Could not save the Pop-up Zone: %1","Could not save the Pop-up Zone: %1"
"Pop-up Zone with id ""%1"" does not exist.","Pop-up Zone with id ""%1"" does not exist."
"Could not delete the Pop-up Zone: %1","Could not delete the Pop-up Zone: %1"
"IE Type","IE Type"
"Invalid file upload attempt.","Invalid file upload attempt."
"Unrecognized method %1","Unrecognized method %1"
"Carrier with the code %1 does not exists","Carrier with the code %1 does not exists"
"Method with the code %1 does not exists","Method with the code %1 does not exists"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Could not save the region: %1","Could not save the region: %1"
"Region with id ""%1"" does not exist.","Region with id ""%1"" does not exist."
"Could not delete the region: %1","Could not delete the region: %1"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"Subtotal (base)","Subtotal (base)"
"Subtotal with Discount (base)","Subtotal with Discount (base)"
"Discount (base)","Discount (base)"
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Coupon Code","Coupon Code"
"Shipping Postcode","Shipping Postcode"
